States,Year,Total revenue,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,Current charges,Miscellaneous general revenue,Utility revenue,Liquor stores revenue,Insurance trust revenue ,Total expenditure, Intergovernmental expenditure, Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,Education,Public welfare,Hospitals,Health,Highways,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,Interest on general debt,Other and unallocable,Utility expenditure,Liquor stores expenditure, Insurance trust expenditure,Debt at end of fiscal year,Cash and security holdings
OHIO,2009,26133949,54766763,19265922,23920056,7328388,4821101,2880397,8323352,521363,45455,7319637,4261148, -   ,765784,-29398598,71862926,18963232,52899694,31046745,3533058,14577731,2323844,1418316,8210805,71862926,56813211,18963232,37849979,21396457,16493561,2451790,2278192,3265756,284908,1732289,374480,98725,1929563,1418316,5089174, -   ,471984,14577731,29090503,159914909
OKLAHOMA,2009,17433201,18695690,6553620,8192191,2162693,995643,1020583,2544576,342762,1125934,2210661,1739218,500862, -   ,-1763351,21365899,4506456,16859443,11323040,2401615,2275259,369344,490185,3091929,21365899,18158546,4506456,13652090,7390486,5116159,230161,828620,1648001,165575,629731,243031,95105,584197,430991,796489,932094, -   ,2275259,9855393,31408000
OREGON,2009,7553467,17752415,5867264,7115043, -   ,885526,689616,5162384,243752,133765,2546096,2224012,453,414012,-10613413,24381062,5703775,18677287,11581072,1447670,4767185,425254,456106,4229330,24381062,19388496,5703775,13684721,7133379,4925374,1220844,447523,1565818,166662,713821,454327,100745,942261,456106,1261636,17048,208333,4767185,12678820,58116906
PENNSYLVANIA,2009,40050370,60725555,18314112,30071179,8496182,6600228,2503297,9550238,1740532,1180702,7499934,4840330, -   ,1491768,-22166953,79812933,19144305,60668628,38517831,6798987,11512652,2015399,1823759,7976822,79812933,66894551,19144305,47750246,21325162,21240686,3023026,2127280,7347576,879920,1702602,657563,298631,2901101,1823759,3567245, -   ,1405730,11512652,41924042,111348951
RHODE ISLAND,2009,4813404,6493598,2315920,2586184,814511,569253,96880,960885,108497,36158,710638,880856,34010, -   ,-1714204,7440637,1002915,6437722,4218053,327375,1328207,126794,437293,1056400,7440637,5963618,1002915,4960703,1670031,2175941,64742,181653,220513,67514,179649,40416,6915,358342,437293,560609,148812, -   ,1328207,9180938,13810004
SOUTH CAROLINA,2009,18958820,20692924,7256706,7636726,2910183,1168177,452195,2812300,249200,44671,4147376,1652116,1573993, -   ,-3308097,28569063,5520979,23048084,15550152,2490785,3179134,1074359,753654,3623919,28569063,22736275,5520979,17215296,7834782,6001129,1398273,1056196,1070776,187735,486737,239503,104695,1025605,553483,2777361,2653654, -   ,3179134,15313021,31130906
SOUTH DAKOTA,2009,2367319,3676674,1465460,1341758,756598,327013,200608, -   ,48772,8767,340099,529357, -   , -   ,-1309355,4112566,707862,3404704,2277851,541123,380245,70350,135135,883257,4112566,3732321,707862,3024459,1211838,894392,60465,134191,480144,31338,114507,129866,43417,223105,135135,273923, -   , -   ,380245,3626024,10537938
TENNESSEE,2009,19768870,23655788,8507222,10433133,6356962,1643509,1128651,221685,816261,266065,2349512,2365921, -   , -   ,-3886918,28294693,6797935,21496758,15447191,2098027,2424765,1290657,236118,3781185,28294693,25869928,6797935,19071993,8957181,8749889,466221,1279444,2204291,183422,810953,381408,144638,890583,236118,1565780, -   , -   ,2424765,4847786,34604881
TEXAS,2009,92274744,96156174,35485256,41779699,21053923,11581054,6847541, -   , -   ,2297181,10765547,8125672, -   , -   ,-3881430,110998477,29252364,81746113,58196351,7671578,12603710,2031549,1242925,15118481,110998477,98299224,29252364,69046860,44354519,26582564,3763065,2519399,6776659,747902,3689841,863925,179130,1825325,1242925,5753970,95543, -   ,12603710,30438160,230572829
UTAH,2009,8783428,12837189,3853815,5422858,1744035,654127,356742,2319632,245880,102442,2528773,1031743,466,226337,-4280564,15568462,3120527,12447935,8467249,1809748,1440316,486914,243708,2667813,15568462,13961499,3120527,10840972,6370956,2458093,927095,393241,1325376,125867,333720,183443,56119,784819,243708,759062,1654,164993,1440316,6267888,24732573
VERMONT,2009,4559365,4978013,1573825,2505704,321162,500844,98363,532911,86759,965665,560797,337687, -   ,44405,-463053,5467079,1532766,3934313,3034712,218279,357434,159534,164354,749271,5467079,5035486,1532766,3502720,2269224,1359222,20175,164536,335679,74996,120183,73121,17059,164911,164354,272026,29407,44752,357434,3426670,6202078
VIRGINIA,2009,26194045,34993147,8015001,16607511,3372974,2265379,670999,9194355,633490,470314,6798903,3571732, -   ,551548,-9350650,42204081,11894394,30309687,21361616,2870241,3706785,1365669,1005376,6349548,42204081,38047366,11894394,26152972,14755276,7888513,2991710,1128702,2987783,671407,1547595,226464,113746,1365890,1005376,3364904,2453,447477,3706785,23508301,65557834
WASHINGTON,2009,24387004,32520101,9829012,16407536,10035359,3075425,928056, -   , -   ,2368696,4020108,2263445, -   ,560846,-8693943,43453465,10043789,33409676,20887192,3599861,6351983,1459966,1110674,6528415,43453465,36537414,10043789,26493625,15295072,8189020,1859169,1802465,2896426,322286,1158924,926500,143420,777996,1110674,2055462,63783,500285,6351983,24603219,67199645
WEST VIRGINIA,2009,11112547,11113125,3775786,4787352,1110017,1116306,192985,1557403,420530,390111,1343499,1206488,439,80497,-81514,11501520,2232558,9268962,6696595,1094253,1047745,183911,246458,1574456,11501520,10376402,2232558,8143844,3892978,2860952,114021,290263,1209882,101691,256169,187066,55731,415531,246458,745660,10128,67245,1047745,6501995,16208457
WISCONSIN,2009,8518436,29482062,8796443,14447245,4084147,2563252,959232,5971177,656872,212565,3735733,2502641, -   , -   ,-20963626,35646272,10199520,25446752,15993739,2129786,5460814,600048,1262365,4150383,35646272,30176862,10199520,19977342,10717030,7736417,1142446,588734,2162554,135843,1136178,628189,39027,664260,1262365,3963819,8596, -   ,5460814,20913355,77111900
WYOMING,2009,4787884,6040527,2331836,2763610,989738,130565,152210, -   , -   ,1491097,189912,755169, -   ,82639,-1335282,5577990,1919231,3658759,2423182,561867,543271,66218,64221,680154,5577990,4963188,1919231,3043957,1715510,704647,3300,295986,482546,72513,149257,380892,26740,257637,64221,809939, -   ,71531,543271,1320852,17327978
